Timestamp,Noise (dB),Light (lux),Temperature (C)
2021-01-01 00:43:48,54.32,2.13,25.76
2021-01-01 00:44:08,51.74,2.13,25.76
2021-01-01 00:44:28,53.83,2.13,25.76
2021-01-01 00:44:48,55.77,2.13,25.76
2021-01-01 00:45:09,55.32,2.13,25.76
2021-01-01 00:45:29,53.07,2.13,25.76
2021-01-01 00:45:49,53.95,2.13,25.77
2021-01-01 00:46:09,52.71,2.13,25.76
2021-01-01 00:46:30,53.07,2.13,25.76
2021-01-01 00:46:50,53.79,2.13,25.76
2021-01-01 00:47:10,54.08,2.13,25.76
2021-01-01 00:47:30,55.65,2.13,25.77
2021-01-01 00:47:50,53.11,2.13,25.77
2021-01-01 00:48:11,55.77,2.13,25.77
2021-01-01 00:48:31,54.44,2.13,25.75
2021-01-01 00:48:51,55.49,2.13,25.76
2021-01-01 00:49:11,54.4,2.19,25.77
2021-01-01 00:49:32,53.95,2.07,25.75
2021-01-01 00:49:52,54.48,2.07,25.76
2021-01-01 00:50:12,52.14,2.13,25.77
2021-01-01 00:50:32,51.78,2.13,25.77
2021-01-01 00:50:53,54.8,2.13,25.76
2021-01-01 00:51:13,53.43,2.13,25.76
2021-01-01 00:51:33,51.22,2.13,25.77
2021-01-01 00:51:53,55.85,2.13,25.75
2021-01-01 00:52:14,56.25,2.13,25.75
2021-01-01 00:52:34,52.22,2.13,25.75
2021-01-01 00:52:54,54.68,2.13,25.75
2021-01-01 00:53:15,55.97,2.07,25.74
2021-01-01 00:53:35,55.85,2.07,25.73
2021-01-01 00:53:55,54.44,2.13,25.73
2021-01-01 00:54:15,55.53,2.07,25.73
2021-01-01 00:54:35,54.6,2.07,25.72
2021-01-01 00:54:56,55.81,2.07,25.72
2021-01-01 00:55:16,55.0,2.13,25.72
2021-01-01 00:55:36,54.68,2.13,25.71
2021-01-01 00:55:56,53.19,2.07,25.72
2021-01-01 00:56:17,56.41,2.13,25.72
2021-01-01 00:56:37,53.95,2.07,25.73
2021-01-01 00:56:57,52.63,2.13,25.71
2021-01-01 00:57:17,54.6,2.07,25.72
2021-01-01 00:57:37,54.72,2.07,25.7
2021-01-01 00:57:58,54.36,2.07,25.7
2021-01-01 00:58:18,54.84,2.07,25.69
2021-01-01 00:58:39,53.23,2.07,25.7
2021-01-01 00:58:59,53.51,2.07,25.68
2021-01-01 00:59:19,54.96,2.07,25.67
2021-01-01 00:59:39,55.16,2.13,25.66
2021-01-01 00:59:59,55.24,2.07,25.66
2021-01-01 01:00:20,52.67,2.13,25.67
2021-01-01 01:00:40,55.61,2.13,25.66
2021-01-01 01:01:00,53.03,2.13,25.66
2021-01-01 01:01:21,55.89,2.13,25.67
2021-01-01 01:01:41,55.77,2.13,25.66
2021-01-01 01:02:01,54.2,2.13,25.67
2021-01-01 01:02:21,54.36,2.13,25.67
2021-01-01 01:02:42,52.59,2.13,25.66
2021-01-01 01:03:02,55.49,2.13,25.66
2021-01-01 01:03:22,53.59,2.13,25.68
2021-01-01 01:03:42,52.75,2.13,25.67
2021-01-01 01:04:03,52.26,2.13,25.68
2021-01-01 01:04:23,51.62,2.13,25.67
2021-01-01 01:04:43,52.79,2.13,25.67
2021-01-01 01:05:03,53.95,2.13,25.67
2021-01-01 01:05:24,52.99,2.13,25.66
2021-01-01 01:05:44,53.91,2.13,25.67
2021-01-01 01:06:04,56.05,2.07,25.68
2021-01-01 01:06:24,55.77,2.13,25.66
2021-01-01 01:06:45,52.71,2.13,25.66
2021-01-01 01:07:05,56.09,2.13,25.66
2021-01-01 01:07:25,54.0,2.13,25.65
2021-01-01 01:07:45,51.26,2.07,25.66
2021-01-01 01:08:06,53.35,2.13,25.66
2021-01-01 01:08:26,50.17,2.36,25.66
2021-01-01 01:08:46,54.0,2.42,25.65
2021-01-01 01:09:06,54.44,2.13,25.65
2021-01-01 01:09:27,52.06,2.13,25.65
2021-01-01 01:09:47,53.87,2.13,25.65
2021-01-01 01:10:07,52.26,2.13,25.65
2021-01-01 01:10:28,54.0,2.13,25.64
2021-01-01 01:10:48,53.67,2.13,25.63
2021-01-01 01:11:08,58.63,2.07,25.64
2021-01-01 01:11:28,52.46,2.13,25.62
2021-01-01 01:11:49,53.87,2.13,25.63
2021-01-01 01:12:09,51.05,2.13,25.62
2021-01-01 01:12:29,54.36,2.13,25.62
2021-01-01 01:12:50,54.08,2.13,25.62
2021-01-01 01:13:10,54.12,2.13,25.62
2021-01-01 01:13:30,54.4,2.13,25.6
2021-01-01 01:13:51,53.83,2.13,25.61
2021-01-01 01:14:11,56.62,2.13,25.61
2021-01-01 01:14:31,53.27,2.13,25.62
2021-01-01 01:14:51,52.79,2.13,25.62
2021-01-01 01:15:12,54.56,2.07,25.6
2021-01-01 01:15:32,53.55,2.07,25.61
2021-01-01 01:15:52,52.42,2.07,25.6
2021-01-01 01:16:12,54.84,2.07,25.59
2021-01-01 01:16:33,53.39,2.07,25.6
2021-01-01 01:16:53,55.45,2.07,25.58
2021-01-01 01:17:13,56.74,2.02,25.6
2021-01-01 01:17:34,53.83,2.02,25.6
2021-01-01 01:17:54,54.28,2.02,25.58
2021-01-01 01:18:14,54.0,2.07,25.6
2021-01-01 01:18:35,54.28,2.07,25.58
2021-01-01 01:18:55,54.28,2.07,25.56
2021-01-01 01:19:15,52.75,2.07,25.53
2021-01-01 01:19:35,54.6,2.02,25.53
2021-01-01 01:19:56,54.36,2.02,25.54
2021-01-01 01:20:16,53.47,2.07,25.54
2021-01-01 01:20:36,53.27,2.13,25.52
2021-01-01 01:20:57,53.23,2.13,25.5
2021-01-01 01:21:17,53.67,2.13,25.48
2021-01-01 01:21:37,55.36,2.13,25.51
2021-01-01 01:21:57,53.95,2.13,25.49
2021-01-01 01:22:18,55.85,2.13,25.49
2021-01-01 01:22:38,52.46,2.13,25.5
2021-01-01 01:22:58,54.76,2.42,25.46
2021-01-01 01:23:18,53.07,2.48,25.51
2021-01-01 01:23:39,54.96,2.13,25.49
2021-01-01 01:23:59,59.03,2.53,25.5
2021-01-01 01:24:19,68.7,1.96,25.46
2021-01-01 01:24:39,55.53,1.96,25.48
2021-01-01 01:25:00,54.6,1.9,25.48
2021-01-01 01:25:20,55.08,1.9,25.48
2021-01-01 01:25:40,53.35,1.9,25.48
2021-01-01 01:26:01,54.16,1.96,25.47
2021-01-01 01:26:21,54.36,1.9,25.48
2021-01-01 01:26:41,55.57,1.96,25.48
2021-01-01 01:27:01,51.14,1.96,25.44
2021-01-01 01:27:22,53.87,1.9,25.45
2021-01-01 01:27:42,54.8,1.9,25.46
2021-01-01 01:28:02,55.85,1.96,25.43
2021-01-01 01:28:22,52.63,1.96,25.46
2021-01-01 01:28:43,54.96,1.96,25.46
2021-01-01 01:29:03,53.67,1.9,25.46
2021-01-01 01:29:23,52.5,1.9,25.44
2021-01-01 01:29:43,57.06,1.9,25.46
2021-01-01 01:30:04,52.54,1.9,25.41
2021-01-01 01:30:24,54.92,1.9,25.44
2021-01-01 01:30:44,57.22,1.9,25.41
2021-01-01 01:31:05,50.77,1.9,25.38
2021-01-01 01:31:25,53.23,1.96,25.42
2021-01-01 01:31:45,55.41,1.9,25.42
2021-01-01 01:32:06,52.99,1.9,25.42
2021-01-01 01:32:26,55.36,1.9,25.43
2021-01-01 01:32:46,54.12,1.9,25.42
2021-01-01 01:33:06,51.82,1.9,25.42
2021-01-01 01:33:27,52.5,1.96,25.43
2021-01-01 01:33:47,53.75,1.9,25.43
2021-01-01 01:34:07,56.01,1.9,25.4
2021-01-01 01:34:28,54.0,1.9,25.4
2021-01-01 01:34:48,52.1,1.9,25.42
2021-01-01 01:35:08,53.79,1.9,25.43
2021-01-01 01:35:29,53.11,1.9,25.41
2021-01-01 01:35:49,52.91,1.9,25.41
2021-01-01 01:36:09,55.12,1.9,25.41
2021-01-01 01:36:29,51.94,1.9,25.41
2021-01-01 01:36:50,53.75,1.9,25.41
2021-01-01 01:37:10,52.63,1.9,25.41
2021-01-01 01:37:30,56.98,1.9,25.41
2021-01-01 01:37:50,57.66,1.9,25.41
2021-01-01 01:38:11,52.46,1.96,25.4
2021-01-01 01:38:31,54.32,1.96,25.41
2021-01-01 01:38:51,53.55,1.9,25.38
2021-01-01 01:39:12,53.39,1.9,25.37
2021-01-01 01:39:32,53.71,1.9,25.4
2021-01-01 01:39:52,52.87,1.9,25.39
2021-01-01 01:40:12,55.08,1.96,25.38
2021-01-01 01:40:33,51.62,1.96,25.39
2021-01-01 01:40:53,54.72,1.9,25.4
2021-01-01 01:41:13,57.54,1.9,25.41
2021-01-01 01:41:34,52.83,1.96,25.4
2021-01-01 01:41:54,53.23,1.9,25.4
2021-01-01 01:42:14,54.28,1.9,25.39
2021-01-01 01:42:34,55.0,1.9,25.38
2021-01-01 01:42:55,55.28,1.9,25.38
2021-01-01 01:43:15,54.28,1.9,25.37
2021-01-01 01:43:35,51.86,1.9,25.38
2021-01-01 01:43:56,55.53,1.96,25.38
2021-01-01 01:44:16,52.99,1.9,25.33
2021-01-01 01:44:36,53.07,1.96,25.25
2021-01-01 01:44:56,53.75,1.96,25.35
2021-01-01 01:45:17,53.95,1.96,25.34
2021-01-01 01:45:37,53.87,1.96,25.32
2021-01-01 01:45:57,54.4,1.9,25.28
2021-01-01 01:46:17,55.08,1.9,25.3
2021-01-01 01:46:38,53.35,1.9,25.3
